,店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
0,島唄居酒屋 結い唄,050-5493-1675,,沖縄県,名護市宮里,6-7-45,1F,https://fbs2500.gorp.jp/,True
1,山内農場 鴨居南口駅前店,045-932-9688,,神奈川県,横浜市緑区鴨居,1-9-2,明治屋ビル2F,https://gcku373.gorp.jp/,True
2,炭焼鰻ひつまぶし うお茂・熱々天丼 天仁屋,050-5487-0811,,愛知県,みよし市三好町中鯰ヶ池,78-1,,https://uoshige-miyoshi.gorp.jp/,True
3,まともや,050-5492-1759,,愛媛県,松山市大街道,3-3-5,,https://s549900.gorp.jp/,True
4,魚正本陣,050-5484-6525,,山口県,下関市赤間町,4-20,,https://y046200.gorp.jp/,True
5,海の穂まれ イオンモール徳島店,050-5489-2340,,徳島県,徳島市南末広町,4-1,イオンモール徳島4F,https://s522806.gorp.jp/,True
6,魚民 柳井駅前店,0820-22-2088,,山口県,柳井市中央,2-16-10,16.モンテローザ柳井ビル2F,https://y043403.gorp.jp/,True
7,山内農場 会津若松駅前店,0242-24-9888,,福島県,会津若松市駅前町,6-42,山惣センタービル アネックス1・2F,https://t338154.gorp.jp/,True
8,魚民 名取店,022-382-6788,,宮城県,名取市飯野坂土城堀,82-1,セッツウイングス1F,https://t338127.gorp.jp/,True
9,鰻の成瀬 新潟駅前東大通店,050-5489-2438,,新潟県,新潟市中央区東大通,2-4-33,パークソレイユ3番館 1F,https://r997900.gorp.jp/,True
10,郷,050-5492-9940,,沖縄県,那覇市久茂地,3-25-10,,https://f266400.gorp.jp/,True
11,より道酒場 檜や,050-5488-4922,,広島県,広島市中区流川町,5-3,きらく街1F,https://ya1r900.gorp.jp/,True
12,花園　月ちゃん,050-5487-6626,,愛媛県,松山市花園町,5-11,,https://s487600.gorp.jp/,True
13,串カツ田中 周南店,050-5493-7220,,山口県,周南市若宮町,2-29,,https://ya55801.gorp.jp/,True
14,琉旬彩食 土煌 豊崎店,050-5484-3275,,沖縄県,豊見城市豊崎,3-82,,https://dokou-toyosakiten.gorp.jp/,True
15,とやま方舟,050-5486-3310,,富山県,富山市明輪町,1-220,きときと市場とやマルシェ第115号,https://r653700.gorp.jp/,True
16,個室居酒屋隠れ家 忍,050-5487-6394,,沖縄県,名護市宮里,7-23-15,,https://kakuregashinobi.gorp.jp/,True
17,和食すし 新三,050-5484-3795,,沖縄県,那覇市久茂地,2-10-22,ハイツ国場1F,https://fayz300.gorp.jp/,True
18,ふぐ政 岡山本店,086-224-1129,,岡山県,岡山市北区田町,2-10-11,,https://fugumasa.gorp.jp/,True
19,小料理 木の花,080-5283-6140,,鹿児島県,奄美市名瀬入舟町,16-3,,https://fbru600.gorp.jp/,True
20,博多 御膳屋,050-5494-8426,,福岡県,福岡市博多区博多駅東,2-5-19,サンライフ第3ビル1F,https://f045301.gorp.jp/,True
21,魚民 善行東口駅前店,0466-84-4288,,神奈川県,藤沢市善行,7-2-12,小田急マルシェ善行2 2F,https://gcku326.gorp.jp/,True
22,鰻の成瀬 広島八丁堀店,050-5488-5671,,広島県,広島市中区鉄砲町,9-5,和田ビル2F,https://ya6b000.gorp.jp/,True
23,鰻の成瀬 松江田和山店,050-5489-2584,,島根県,松江市田和山町,114,,https://ya70000.gorp.jp/,True
24,夢庵 鎌ヶ谷店,050-5492-6028,,千葉県,鎌ケ谷市丸山,1-18-1,,https://ghk9300.gorp.jp/,True
25,魚民 伊那市駅前店,0265-74-6388,,長野県,伊那市荒井,3461-12,加賀屋店舗 1F,https://nb5d735.gorp.jp/,True
26,すし海鮮うまいもんや ごかん磯貝 八街店,050-5485-6661,,千葉県,八街市八街ほ,948-5,,https://tsubohachi-yachimata.gorp.jp/,True
